geoid (zcta),days_above_90_today,days_above_90_30yrs,change_days_above_90,days_above_100_today,days_above_100_30yrs,change_days_above_100,heatbin_125_today,heatbin_125_30yrs
2859,17,30,13,2,6,4,0.033,0.056
2860,22,36,14,4,10,6,0.033,0.056
2861,22,36,14,4,10,6,0.033,0.056
2863,22,36,14,4,10,6,0.033,0.056
2864,21,34,13,3,8,5,0.033,0.056
2865,21,34,13,3,9,6,0.033,0.056
2871,14,25,11,2,5,3,0.022,0.039
2872,13,25,12,1,4,3,0.022,0.039
2873,18,31,13,2,7,5,0.011,0.028
2874,11,23,12,1,3,2,0.011,0.028
2875,18,31,13,2,7,5,0.011,0.028
2876,20,33,13,3,7,4,0.033,0.056
2878,17,30,13,3,7,4,0.022,0.039
2879,9,20,11,1,3,2,0.011,0.028
2881,16,28,12,2,6,4,0.011,0.028
2882,7,18,11,0,2,2,0.011,0.028
2885,21,35,14,4,9,5,0.028,0.033
2886,20,34,14,3,9,6,0.022,0.039
2888,21,35,14,4,9,5,0.022,0.039
2889,20,33,13,3,8,5,0.022,0.039
2891,8,18,10,0,2,2,0.011,0.028
2892,18,32,14,3,7,4,0.011,0.028
2893,19,32,13,3,8,5,0.022,0.039
